EarthquakeNo,AreaDesc,CountyName,StationName,StationID,SeismicIntensity,EpicenterDistance,EWComponent_pga,NSComponent_pga,VComponent_pga,EWComponent_pgv,NSComponent_pgv,VComponent_pgv,WaveImageURI
114116,臺中市地區,臺中市,梨山,FUSS,1級,139.51,0.97,0.8,0.55,0.07,0.06,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-FUSS.gif
114116,嘉義縣地區,嘉義縣,大埔,WTP,4級,11.55,154.91,105.07,20.93,2.71,1.82,0.53,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/4-WTP.gif
114116,嘉義縣地區,嘉義縣,番路,WCKO,4級,31.02,34.0,39.82,10.74,1.24,1.29,0.3,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/4-WCKO.gif
114116,嘉義縣地區,嘉義縣,義竹,CHN8,3級,39.27,10.75,7.82,5.51,0.36,0.48,0.14,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/3-CHN8.gif
114116,嘉義縣地區,嘉義縣,民雄,CHN2,3級,41.63,27.48,21.83,14.97,1.07,0.67,0.46,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/3-CHN2.gif
114116,嘉義縣地區,嘉義縣,太保市,CHY1,3級,41.84,21.32,17.82,7.55,0.63,0.48,0.24,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/3-CHY1.gif
114116,嘉義縣地區,嘉義縣,阿里山,ALS,3級,46.77,,,,,,,
114116,屏東縣地區,屏東縣,三地門,SSD,3級,47.38,9.44,11.38,6.23,0.38,0.68,0.23,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/3-SSD.gif
114116,屏東縣地區,屏東縣,九如,SGL,2級,49.09,3.14,3.27,1.16,0.34,0.28,0.17,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-SGL.gif
114116,屏東縣地區,屏東縣,屏東市,SPT,2級,54.27,4.11,4.36,2.51,0.35,0.4,0.1,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-SPT.gif
114116,屏東縣地區,屏東縣,新埤,SSP,2級,75.43,4.55,3.08,1.13,0.23,0.24,0.06,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-SSP.gif
114116,屏東縣地區,屏東縣,東港,D033,2級,78.32,2.92,2.98,2.1,0.19,0.24,0.09,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-D033.gif
114116,屏東縣地區,屏東縣,春日,SCZ,2級,88.33,,,,,,,
114116,屏東縣地區,屏東縣,小琉球,WLCH,1級,91.86,1.01,1.01,0.89,0.07,0.07,0.06,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-WLCH.gif
114116,屏東縣地區,屏東縣,獅子,SLIU,1級,108.11,0.86,1.19,0.57,0.07,0.06,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-SLIU.gif
114116,屏東縣地區,屏東縣,滿州,SMS,1級,130.14,0.72,1.04,0.39,0.04,0.06,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-SMS.gif
114116,屏東縣地區,屏東縣,恆春,HEN,1級,130.18,1.3,1.19,0.48,0.11,0.13,0.04,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-HEN.gif
114116,宜蘭縣地區,宜蘭縣,南山,NNS,1級,164.76,1.23,1.32,0.35,0.07,0.06,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-NNS.gif
114116,宜蘭縣地區,宜蘭縣,南澳,ENA,1級,185.83,0.74,0.84,0.31,0.03,0.05,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-ENA.gif
114116,宜蘭縣地區,宜蘭縣,牛鬥,ENT,1級,193.94,0.14,0.91,0.29,0.03,0.05,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-ENT.gif
114116,嘉義市地區,嘉義市,嘉義市,CHY,3級,38.86,12.74,16.51,11.06,0.61,0.87,0.2,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/3-CHY.gif
